participant,muscle,nmes,trial,session,condition,event_out,left,right,img_emo,img_oasis,Are you finished?,base_mood,Interested,Distressed,Excited,Upset,Strong,Guilty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,muscle_order_n,Notes for Experiment,Notes DAO,Notes ZM,height,weight,age,sex,ethnicity,education,prior_exp,reason,reason_open,worried,excited,TAS_1,TAS_2,TAS_3,TAS_4,TAS_5,TAS_6,TAS_7,TAS_8,TAS_9,TAS_10,TAS_11,TAS_12,TAS_13,TAS_14,TAS_15,TAS_16,TAS_17,TAS_18,TAS_19,TAS_20,BMI,TAS_total,left_ma,right_ma,nmes_int,neg_affect,pos_affect,corrected_AU12_r,corrected_AU15_r,image,fnmes,valence,arousal,discomfort,image_present
1,zm,100,2,1,1,20,450,425,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,22.5,21.25,21.875,16,30,0.7139931153184165,-0.28714285714285714,none,zm 100,56.193203789636506,53.323182521268365,NA,0
1,zm,100,2,1,1,20,450,425,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,22.5,21.25,21.875,16,30,0.7139931153184165,-0.28714285714285714,none,zm 100,NA,NA,NA,0
1,zm,100,27,1,1,42,450,425,pos,images\Wedding_4.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,22.5,21.25,21.875,16,30,0.7877108433734941,-0.32660929432013763,congruent emotion,zm 100,49.09367749419953,NA,NA,1
1,zm,100,27,1,1,42,450,425,pos,images\Dog_12.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,22.5,21.25,21.875,16,30,0.7877108433734941,-0.32660929432013763,congruent emotion,zm 100,NA,NA,75.67913766434648,1
1,zm,100,3,1,1,20,450,425,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,22.5,21.25,21.875,16,30,0.6027710843373494,-0.31822719449225473,none,zm 100,NA,NA,62.1598269528229,0
1,zm,100,3,1,1,20,450,425,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,22.5,21.25,21.875,16,30,0.6027710843373494,-0.31822719449225473,none,zm 100,55.74004253673627,NA,NA,0
1,zm,100,36,1,1,39,450,425,neu,images\Storage_2.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,22.5,21.25,21.875,16,30,0.7309638554216867,-0.024216867469879503,neutral,zm 100,NA,41.087828692962105,54.53161252900232,1
1,zm,100,4,1,1,20,450,425,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,22.5,21.25,21.875,16,30,0.6739759036144578,-0.2947160068846815,none,zm 100,NA,55.96662316318639,70.46778325599381,0
1,zm,50,11,1,2,21,225,212.5,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,11.25,10.625,10.9375,16,30,0,0.01664371772805508,none,zm 50,64.87879447022429,NA,NA,0
1,zm,50,11,1,2,21,225,212.5,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,11.25,10.625,10.9375,16,30,0,0.01664371772805508,none,zm 50,NA,NA,26.133507347254447,0
